data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
3080369,108,BUR8580,8580,2019-02-06,2019,1,Violence against civilians,Kararire Communal Militia (Burundi),,4,Civilians (Burundi),,7,47,Eastern Africa,Burundi,Kirundo,Busoni,Kagege,Kagege,-2.5548,30.1926,1,Local Source,Other,06 February. An unidentified group threw a grenade into a home in the Kararire neighborhood of Kagege. The attack is reported to stem from witchcraft accusations.,0,1550526305,BDI
2998713,108,BUR8568,8568,2019-02-05,2019,1,Riots/Protests,Rioters (Burundi),,5,Police Forces of Burundi (2005-),,1,15,Eastern Africa,Burundi,Bujumbura Mairie,Mukaza,N.A. (26),Rohero,-3.3797,29.3639,1,SOS Medias Burundi,Other,"05 February (on or before). A motor-taxi resisted a bribe to a police officer, who then attempted to seize the drivers' bike. At which time, other drivers reportedly threw stones at the police officer, who responded by shooting and killing the driver.",1,1549911956,BDI
3080366,108,BUR8577,8577,2019-02-04,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,7,37,Eastern Africa,Burundi,Rutana,Giharo,Butezi,Butezi,-3.8670,30.2111,1,Local Source,Other,04 February. Imbonerakure assaulted a CNDD-FDD member in Butezi for not following their instructions on assaulting and intimidating the civilian population. The police did not take any action after the victim filed a complaint against the Imbonerakure members.,0,1550526305,BDI
2998710,108,BUR8565,8565,2019-02-03,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Cibitoke,Buganda,Kaburantwa,Kaburantwa,-2.9985,29.2191,1,SOS Medias Burundi,Other,"03 February. A grenade was thrown into a bar in Kaburantwa, injuring seven people.",0,1549911956,BDI
3080970,108,BUR8566,8566,2019-02-03,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Kirundo,Bugabira,Rugasa,Rugasa,-2.4717,29.9949,1,SOS Medias Burundi,Other,"03 February (on or before). A grenade was thrown into a home in Rugasa, injuring two people. The perpetrator is believed to be a local resident who fled after the attack.",0,1550526324,BDI
2998712,108,BUR8567,8567,2019-02-03,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Muramvya,Muramvya,Shombo,Shombo,-3.3564,29.6247,2,SOS Medias Burundi,Other,03 February (on or before). A female body was discovered along the Ruvubu river in Shombo. Local sources believe the victim had been killed elsewhere before being dumped into the river.,1,1549911956,BDI
3080364,108,BUR8575,8575,2019-02-03,2019,1,Battle-No change of territory,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Police Forces of Burundi (2005-),,1,13,Eastern Africa,Burundi,Kayanza,Matongo,Ruganza,Matongo,-3.0556,29.6139,1,Local Source,Other,03 February. A group of Imbonerakure assaulted a police officer and stole his weapon in Matongo. Other police officers responded by firing into the air to disperse the attackers. Nine Imbonerakure members were arrested over the incident.,0,1550526305,BDI
3080365,108,BUR8576,8576,2019-02-03,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Muramvya,Muramvya,Biganda,Biganda,-3.2507,29.6256,1,Local Source,Other,03 February. A woman was severely beaten by locals after she was accused of stealing potatoes in Biganda. The woman suffered a miscarriage as a result of the attack.,0,1550526305,BDI
2998709,108,BUR8564,8564,2019-02-02,2019,1,Strategic development,Military Forces of Burundi (2005-) National Intelligence Agency,,1,,,0,10,Eastern Africa,Burundi,Cibitoke,Rugombo,Centre Urbain,Cibitoke,-2.8869,29.1248,3,RPA,National,"02 February. A contingent of Burundian soldiers crossed back into the Cibitoke province from the DRC, where they had carried out operations against Red TABARA and other Burundian armed groups.",0,1549911956,BDI
2998708,108,BUR8563,8563,2019-02-01,2019,1,Battle-No change of territory,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Vugizo Communal Militia (Burundi),Herders (Burundi),4,34,Eastern Africa,Burundi,Makamba,Vugizo,Rabiro,Vugizo,-4.1726,29.7069,1,Local Source,Other,"01 February. Imbonerakure from Musanga attacked a group of herders from Vugizo, whom they believed were responsible for bush fires. The two groups clashed (both sides assumed armed).",0,1549911956,BDI
2998706,108,BUR8561,8561,2019-01-31,2019,1,Battle-No change of territory,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Police Forces of Burundi (2005-),Military Forces of Burundi (2005-),1,13,Eastern Africa,Burundi,Cibitoke,Bukinanyana,Masango,Kibati,-2.9183,29.4104,1,Local Source,Other,"31 January. Imbonerakure assaulted and stole the weapons of two police officers in Kibati, Cibitoke. The military intervened and detained the Imbonerakure.",0,1549911956,BDI
2998707,108,BUR8562,8562,2019-01-31,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),7,37,Eastern Africa,Burundi,Kirundo,Bugabira,Kigoma,Cewe,-2.5154,30.0506,1,Local Source,Other,"31 January. A grenade was thrown into the home of a FNL-Rwasa member in Cewe, Kirundo. Some speculate that the family was targeted over their political affiliation, while others believe the attack was due to witchcraft accusations.",0,1549911956,BDI
2974727,108,BUR8557,8557,2019-01-30,2019,2,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),7,37,Eastern Africa,Burundi,Muyinga,Mwakiro,Kabingo,Kabingo,-3.1465,30.2725,1,RPA,National,30 January (on or before). Imbonerakure seriously assaulted a FNL-Rwasa supporter with sticks and drowning for refusing to join the CNDD-FDD.,0,1549309920,BDI
2998705,108,BUR8560,8560,2019-01-30,2019,1,Violence against civilians,Military Forces of Burundi (2005-) National Intelligence Agency,,1,Civilians (Burundi),,7,17,Eastern Africa,Burundi,Rumonge,Rumonge,Gatete,Gatete,-4.0419,29.4731,1,Local Source,Other,"30 January. Two members of the political opposition were arrested and tortured by the national intelligence service in Gatete, Rumonge. The detainees were involved in a land dispute with a CNDD-FDD leader and the intelligence officers accused them of conspiring with armed groups.",0,1549911956,BDI
2998704,108,BUR8559,8559,2019-01-28,2019,1,Strategic development,Police Forces of Burundi (2005-),,1,FNL: National Forces of Liberation,,3,13,Eastern Africa,Burundi,Rumonge,Muhuta,Gitaza,Gabaniro,-3.6064,29.3555,1,Local Source,Other,28 January. Police raided the home of an FNL member in Gabaniro and seized grenades.,0,1549911956,BDI
2974723,108,BUR8553,8553,2019-01-27,2019,1,Battle-No change of territory,Unidentified Armed Group (Democratic Republic of Congo),,3,Military Forces of Burundi (2005-),,1,13,Eastern Africa,Burundi,Bubanza,Gihanga,Buringa,Rukoko,-3.2662,29.2993,2,SOS Medias Burundi; Local Source,Other,"27 January. Military forces were ambushed by rebels from the DRC in the Rukoko forest, Gihanga. Three soldiers were killed and others were seriously injured. Additional soldiers were deployed to the Rukoko Nature Reserve following the attack, while access to the reserve was banned.",3,1549309920,BDI
2974724,108,BUR8554,8554,2019-01-27,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,7,37,Eastern Africa,Burundi,Karuzi,Nyabikere,Ngugo,Nyabikere,-3.2664,30.1125,1,Local Source,Other,27 January. Three armed men attacked a CNDD-FDD member near the Nyabikere dam. The victim was stabbed in the face but managed to escape.,0,1549309920,BDI
2974725,108,BUR8555,8555,2019-01-27,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Gitega,Giheta,Gisuru,Giheta,-3.3647,29.8622,2,SOS Medias Burundi,Other,27 January (on or before). A body was discovered in the Ruvyironza river near Giheta. The victim appeared to have been killed then dumped into the river.,1,1549309920,BDI
2974726,108,BUR8556,8556,2019-01-27,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),7,37,Eastern Africa,Burundi,Bujumbura Mairie,Ntahangwa,N.A. (4),Buterere,-3.3333,29.3333,1,Local Source,Other,"27 January. Unidentified perpetrators threw a grenade into a bar in Buterere. The local Imbonerakure leader and his wife were injured in the attack, along with six others.",0,1549309920,BDI
3080363,108,BUR8574,8574,2019-01-27,2019,1,Battle-No change of territory,Unidentified Armed Group (Democratic Republic of Congo),,3,Military Forces of Burundi (2005-),,1,13,Eastern Africa,Burundi,Bubanza,Gihanga,Gihanga,Gihanga,-3.1940,29.3068,2,Local Source,Other,"27 January. An unidentified armed group from the DRC attacked a military position in the Rukoro forest, near Gihanga. Three soldiers were killed.",3,1550526305,BDI
2974718,108,BUR8548,8548,2019-01-26,2019,1,Violence against civilians,Police Forces of Burundi (2005-),,1,Civilians (Burundi),,7,17,Eastern Africa,Burundi,Gitega,Gitega,Butamuheba,Butamuheba,-3.4434,29.8750,1,Local Source,Other,26 January. Police and the local chief tied-up and tortured a man in Butamuheba. They held the man over night while they tortured him to confess to impregnating a woman.,0,1549309920,BDI
2974719,108,BUR8549,8549,2019-01-26,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,7,37,Eastern Africa,Burundi,Muramvya,Muramvya,Busimba,Busimba,-3.2628,29.5813,2,Local Source,Other,26 January (on or around). The body of a CNDD-FDD member was discovered in Busimba. The victim's arms and tongue had been cut off.,1,1549309920,BDI
2974720,108,BUR8550,8550,2019-01-26,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Bubanza,Mpanda,Gahwazi,Mpanda,-3.1703,29.4026,1,SOS Medias Burundi,Other,26 January. A grenade was thrown into a market in Mpanda.,0,1549309920,BDI
2974721,108,BUR8551,8551,2019-01-26,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Muyinga,Mwakiro,Rugabano,Rugabano,-3.0603,30.2791,2,Local Source,Other,"26 January. A man was killed in Gisuma (no coordinates available), in the Rugabano district. The attack is believed to be related to witchcraft accusations.",1,1549309920,BDI
2974722,108,BUR8552,8552,2019-01-26,2019,1,Riots/Protests,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Rumonge,Rumonge,Centre Urbain,Rumonge,-3.9736,29.4386,1,Local Source,Other,26 January. A mob destroyed the home of a family accused of witchcraft in the Gihwanya neighborhood of Rumonge.,0,1549309920,BDI
2998703,108,BUR8558,8558,2019-01-26,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Bubanza,Mpanda,Gifurwe,Gifurwe,-3.1761,29.4173,1,Local Source,Other,26 January. A grenade was thrown into the Gifurwe market. Five suspects were later arrested.,0,1549911956,BDI
2974714,108,BUR8544,8544,2019-01-25,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),FRODEBU: Front for Democracy in Burundi,7,37,Eastern Africa,Burundi,Ngozi,Tangara,Musenyi,Mirango,-2.9371,30.0315,1,Local Source,Other,25 January. Imbonerakure assaulted a member of the FRODEBU in Mirango. They accused him of adultery.,0,1549309920,BDI
2974715,108,BUR8545,8545,2019-01-25,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),7,37,Eastern Africa,Burundi,Kayanza,Gahombo,Mikoni,Kigarama,-2.9421,29.7263,1,Local Source,Other,25 January. A FNL-Rwasa member was beaten to death in his home in Kigarama by suspected Imbonerakure members,1,1549309920,BDI
2974716,108,BUR8546,8546,2019-01-25,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),7,37,Eastern Africa,Burundi,Kirundo,Bugabira,Kigoma,Cewe,-2.5154,30.0506,1,Local Source,Other,25 January. A grenade was thrown into the home of a FNL Rwasa member in Cewe. Local sources believe the family was targeted over witchcraft accusations.,0,1549309920,BDI
2974717,108,BUR8547,8547,2019-01-25,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Karuzi,Nyabikere,Ngugo,Ngugo,-3.2625,30.1009,1,Local Source,Other,25 January. Imbonerakure assaulted and stripped a man in Ngugo. They also stole his phone. The perpetrators were arrested.,0,1549309920,BDI
2974712,108,BUR8542,8542,2019-01-23,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Cankuzo,Kigamba,Rwamvura,Rwamvura,-3.0342,30.5428,1,Local Source,Other,23 January. A member of the Imbonerakure raped a teenager in Rwamvura. The perpetrator was arrested.,0,1549309920,BDI
2974713,108,BUR8543,8543,2019-01-23,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Muramvya,Rutegama,Gashingwa,Gashingwa,-3.3503,29.7434,1,Local Source,Other,"23 January. Imbonerakure assaulted, detained, and extorted money from a woman in Gashingwa.",0,1549309920,BDI
2942383,108,BUR8537,8537,2019-01-21,2019,1,Violence against civilians,Police Forces of Burundi (2005-),,1,Civilians (Burundi),,7,17,Eastern Africa,Burundi,Kirundo,Busoni,Kabanga,Kabanga,-2.5170,30.3037,1,RPA,National,"21 January. Police in Kabanga arrested a youth, they suspected of supporting rebels. They assaulted the youth in the prison and later transferred him and another suspect to a prison in Busoni.",0,1548698501,BDI
2974710,108,BUR8540,8540,2019-01-21,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Rumonge,Rumonge,Centre Urbain,Rumonge,-3.9736,29.4386,1,Local Source,Other,"21 January. Residents in the Birimba neighborhood of Rumonge, caught a robber and killed him. Three of the perpetrators were arrested.",1,1549309920,BDI
2974711,108,BUR8541,8541,2019-01-21,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),Tutsi Ethnic Group (Burundi),7,37,Eastern Africa,Burundi,Gitega,Gishubi,Nyabiraba,Nyamutobo,-3.5490,29.8865,1,Local Source,Other,21 January. Imbonerakure assaulted a woman in Nyamutobo. The perpetrators said that Tutsi were not permitted in the chief's bar.,0,1549309920,BDI
2942381,108,BUR8535,8535,2019-01-20,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Makamba,Kibago,Kibago,Jimbi,-4.2863,29.8817,1,Local Source,Other,20 January. An Imbonerakure member in Jimbi beat a man over the head with a bottle. The perpetrator was arrested.,0,1548698501,BDI
2942382,108,BUR8536,8536,2019-01-20,2019,1,Violence against civilians,Police Forces of Burundi (2005-),,1,Civilians (Burundi),,7,17,Eastern Africa,Burundi,Kirundo,Busoni,Kabanga,Kabanga,-2.5170,30.3037,1,RPA,National,20 January. Police arrested a youth in Kabanga. They accused him of supporting rebels and repeatedly beat him. On 21/01 they transferred him to a prison in Busoni.,0,1548698501,BDI
2942379,108,BUR8533,8533,2019-01-19,2019,2,Violence against civilians,Kinzanza Communal Militia (Burundi),,4,Civilians (Burundi),,7,47,Eastern Africa,Burundi,Rutana,Gitanga,Kinzanza,Kinzanza,-4.0683,29.9339,1,Local Source,Other,19 January (on or before). A resident of Kinzanza was killed by his neighbors following a land dispute.,1,1548698501,BDI
2942380,108,BUR8534,8534,2019-01-19,2019,1,Battle-No change of territory,Unidentified Armed Group (Burundi),,3,Police Forces of Burundi (2005-),,1,13,Eastern Africa,Burundi,Bujumbura Mairie,Ntahangwa,N.A. (4),Mutakura,-3.3405,29.3649,1,Local Source,Other,"19 January. A grenade was thrown at a group of people, including a police officer, in Mutakura. Three people were killed and others were injured.",3,1548698501,BDI
2942378,108,BUR8532,8532,2019-01-17,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Cibitoke,Murwi,Murwi,Murwi,-2.8881,29.2047,1,Local Source,Other,"17 January. Imbonerakure assaulted two women in the Kamege area of Murwi. They then took the women to the police, who detained them for two days.",0,1548698501,BDI
2771238,108,BUR8523,8523.0,2019-01-16,2019,1,Violence against civilians,Butaganzwa Communal Militia (Burundi),,4,Civilians (Burundi),,7,47,Eastern Africa,Burundi,Ruyigi,Butaganzwa1,Muriza,Butaganzwa,-3.5694,30.1406,1,SOS Medias Burundi,Other,16 January. A man and his son were stabbed to death in Butaganzwa. Local leaders suspect they were killed over a land dispute.,2,1548448829,BDI
2771239,108,BUR8524,8524.0,2019-01-16,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Ruyigi,Butaganzwa1,Muriza,Butaganzwa,-3.5694,30.1406,1,SOS Medias Burundi,Other,16 January. Angry residents in Butaganzwa beat a man to death with clubs. They believed he was responsible for stabbing two locals earlier in the day.,1,1548448829,BDI
2942375,108,BUR8529,8529,2019-01-16,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),Teachers (Burundi),7,37,Eastern Africa,Burundi,Ruyigi,Bweru,Gasenyi,Gasenyi,-3.2772,30.3913,1,Local Source,Other,16 January. Imbonerakure assaulted and detained a school director in Gasenyi until a ransom was paid.,0,1548698501,BDI
2942376,108,BUR8530,8530,2019-01-16,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Ngozi,Kiremba,Ruyumpu,Nyakibari,-2.8114,29.9495,1,Local Source,Other,16 January. Imbonerakure assaulted the chief in Nyakibari. The perpetrators were later arrested.,0,1548698501,BDI
2942377,108,BUR8531,8531,2019-01-16,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Cibitoke,Murwi,Ngoma,Mugimbu,-2.9192,29.2357,1,Local Source,Other,16 January. Imbonerakure assaulted a man with clubs in his home in Mugimbu. They targeted the man over witchcraft accusations.,0,1548698501,BDI
2771321,108,BUR8522,8522.0,2019-01-15,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),7,37,Eastern Africa,Burundi,Bujumbura Mairie,Mukaza,n.a. (6),Bujumbura,-3.3772,29.3580,2,RPA,National,"15 January (on or before). The body of an Imbonerakure member, who worked for the aviation authority, was discovered in Bujumbura. The victim appeared to have been strangled to death.",1,1548448830,BDI
2942374,108,BUR8528,8528,2019-01-15,2019,1,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),Tutsi Ethnic Group (Burundi),7,37,Eastern Africa,Burundi,Ngozi,Ngozi,Centre Urbain,Ngozi,-2.9075,29.8306,2,Local Source,Other,15 January. A Tutsi was abducted from Ngozi by unknown perpetrators on 15/01. His body was discovered in Kayanza on 16/01. Local sources suspect the victim was targeted due to his ethnicity.,1,1548698501,BDI
2771379,108,BUR8521,8521.0,2019-01-14,2019,2,Violence against civilians,Unidentified Armed Group (Burundi),,3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Rutana,Bukemba,Bugiga,Bugiga,-3.9942,30.0139,2,RPA,National,"14 January (on or before). A body was discovered in Bugiga, the victim had been tied up and strangled. According to locals, the body had not been deceased long as it had no signs of swelling.",1,1548448830,BDI
2942373,108,BUR8527,8527,2019-01-14,2019,1,Violence against civilians,CNDD-FDD: National Council for the Defence of Democracy-Forces for the Defence of Democracy,,3,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),7,37,Eastern Africa,Burundi,Gitega,Gishubi,Cimba,Cimba,-3.5497,29.8984,1,Local Source,Other,14 January. A CNDD-FDD leader assaulted a female Rwasa supporter in a shop in Cimba.,0,1548698501,BDI
2771434,108,BUR8520,8520.0,2019-01-13,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Bujumbura Mairie,Mukaza,N.A. (11),Mutanga,-3.3784,29.3881,2,SOS Medias Burundi,Other,"13 January. A group of youth in Mugoboka (no coordinates available, located in south Mutanga) accused a man, suffering from psychological problems, of being a rebel and beat him to death.",1,1548448830,BDI
2771435,108,BUR8519,8519.0,2019-01-13,2019,1,Violence against civilians,Rioters (Burundi),Vigilante Group (Burundi),5,Civilians (Burundi),,7,57,Eastern Africa,Burundi,Ruyigi,Nyabitsinda,Nyaruganda,Nyaruganda,-3.6310,30.1779,1,Local Source,Other,13 January. Two men were killed in Nyaruganda by locals (assumed unarmed) who suspected them of practicing witchcraft. The perpetrators were arrested.,2,1548448830,BDI
2942372,108,BUR8526,8526,2019-01-13,2019,1,Battle-No change of territory,Military Forces of Burundi (2005-),,1,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,3,13,Eastern Africa,Burundi,Kirundo,Bugabira,Kiri,Kiyonza,-2.3771,29.9892,1,Local Source,Other,13 January. Soldiers assaulted two Imbonerakure members in Kiyonza in retaliation for an attack on a soldier by Imbonerakure on 09/01.,0,1548698501,BDI
2771501,108,BUR8518,8518.0,2019-01-12,2019,1,Violence against civilians,Police Forces of Burundi (2005-),,1,Civilians (Burundi),Amizero yAbarundi,7,17,Eastern Africa,Burundi,Cibitoke,Bukinanyana,Bukinanyana,Nyamitanga,-2.8772,29.3253,1,SOS Medias Burundi,Other,12 January. A member of Amizero yAbarundi was arrested and tortured by police in Nyamitanga. As of 15/12 he remained in police custody. The police have denied torturing the detainee.,0,1548448830,BDI
2771502,108,BUR8517,8517.0,2019-01-12,2019,1,Violence against civilians,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Police Forces of Burundi (2005-),3,Civilians (Burundi),,7,37,Eastern Africa,Burundi,Muyinga,Mwakiro,Rugabano,Rugabano,-3.0603,30.2791,1,Local Source,Other,"12 January. After catching suspected robbers in Rugabano, Imbonerakure and security forces tortured the suspects.",0,1548448830,BDI
