,Header,Tag,Dataset_name,Index
56,Year,#date+year,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
57,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
58,Origin,#country+origin,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
59,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
60,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
61,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
62,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
63,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
64,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
65,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
66,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
67,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
68,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
69,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tjk.csv.CSV,669
70,Year,#date+year,unhcr-asylum-seekers-determination-tha.csv.CSV,670
71,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tha.csv.CSV,670
72,Origin,#country+origin,unhcr-asylum-seekers-determination-tha.csv.CSV,670
73,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tha.csv.CSV,670
74,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tha.csv.CSV,670
75,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tha.csv.CSV,670
76,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tha.csv.CSV,670
77,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tha.csv.CSV,670
78,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tha.csv.CSV,670
79,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tha.csv.CSV,670
80,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tha.csv.CSV,670
81,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tha.csv.CSV,670
82,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tha.csv.CSV,670
83,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tha.csv.CSV,670
84,Year,#date+year,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
85,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
86,Origin,#country+origin,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
87,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
88,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
89,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
90,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
91,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
92,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
93,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
94,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
95,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
96,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
97,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-mkd.csv.CSV,671
98,Year,#date+year,unhcr-asylum-seekers-determination-tls.csv.CSV,672
99,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tls.csv.CSV,672
100,Origin,#country+origin,unhcr-asylum-seekers-determination-tls.csv.CSV,672
101,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tls.csv.CSV,672
102,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tls.csv.CSV,672
103,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tls.csv.CSV,672
104,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tls.csv.CSV,672
105,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tls.csv.CSV,672
106,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tls.csv.CSV,672
107,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tls.csv.CSV,672
108,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tls.csv.CSV,672
109,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tls.csv.CSV,672
110,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tls.csv.CSV,672
111,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tls.csv.CSV,672
112,Year,#date+year,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
113,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
114,Origin,#country+origin,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
115,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
116,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
117,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
118,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
119,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
120,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
121,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
122,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
123,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
124,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
125,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tgo.csv.CSV,673
126,Year,#date+year,unhcr-asylum-seekers-determination-ton.csv.CSV,674
127,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-ton.csv.CSV,674
128,Origin,#country+origin,unhcr-asylum-seekers-determination-ton.csv.CSV,674
129,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-ton.csv.CSV,674
130,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-ton.csv.CSV,674
131,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-ton.csv.CSV,674
132,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-ton.csv.CSV,674
133,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-ton.csv.CSV,674
134,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-ton.csv.CSV,674
135,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-ton.csv.CSV,674
136,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-ton.csv.CSV,674
137,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-ton.csv.CSV,674
138,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-ton.csv.CSV,674
139,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-ton.csv.CSV,674
140,Year,#date+year,unhcr-asylum-seekers-determination-tto.csv.CSV,675
141,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tto.csv.CSV,675
142,Origin,#country+origin,unhcr-asylum-seekers-determination-tto.csv.CSV,675
143,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tto.csv.CSV,675
144,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tto.csv.CSV,675
145,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tto.csv.CSV,675
146,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tto.csv.CSV,675
147,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tto.csv.CSV,675
148,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tto.csv.CSV,675
149,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tto.csv.CSV,675
150,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tto.csv.CSV,675
151,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tto.csv.CSV,675
152,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tto.csv.CSV,675
153,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tto.csv.CSV,675
154,Year,#date+year,unhcr-asylum-seekers-determination-tun.csv.CSV,676
155,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tun.csv.CSV,676
156,Origin,#country+origin,unhcr-asylum-seekers-determination-tun.csv.CSV,676
157,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tun.csv.CSV,676
158,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tun.csv.CSV,676
159,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tun.csv.CSV,676
160,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tun.csv.CSV,676
161,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tun.csv.CSV,676
162,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tun.csv.CSV,676
163,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tun.csv.CSV,676
164,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tun.csv.CSV,676
165,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tun.csv.CSV,676
166,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tun.csv.CSV,676
167,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tun.csv.CSV,676
168,Year,#date+year,unhcr-asylum-seekers-determination-tur.csv.CSV,677
169,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tur.csv.CSV,677
170,Origin,#country+origin,unhcr-asylum-seekers-determination-tur.csv.CSV,677
171,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tur.csv.CSV,677
172,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tur.csv.CSV,677
173,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tur.csv.CSV,677
174,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tur.csv.CSV,677
175,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tur.csv.CSV,677
176,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tur.csv.CSV,677
177,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tur.csv.CSV,677
178,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tur.csv.CSV,677
179,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tur.csv.CSV,677
180,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tur.csv.CSV,677
181,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tur.csv.CSV,677
182,Year,#date+year,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
183,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
184,Origin,#country+origin,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
185,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
186,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
187,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
188,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
189,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
190,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
191,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
192,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
193,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
194,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
195,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tkm.csv.CSV,678
196,Year,#date+year,unhcr-asylum-seekers-determination-tca.csv.CSV,679
197,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tca.csv.CSV,679
198,Origin,#country+origin,unhcr-asylum-seekers-determination-tca.csv.CSV,679
199,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tca.csv.CSV,679
200,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tca.csv.CSV,679
201,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tca.csv.CSV,679
202,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tca.csv.CSV,679
203,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tca.csv.CSV,679
204,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tca.csv.CSV,679
205,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tca.csv.CSV,679
206,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tca.csv.CSV,679
207,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tca.csv.CSV,679
208,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tca.csv.CSV,679
209,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tca.csv.CSV,679
210,Year,#date+year,unhcr-asylum-seekers-determination-uga.csv.CSV,680
211,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-uga.csv.CSV,680
212,Origin,#country+origin,unhcr-asylum-seekers-determination-uga.csv.CSV,680
213,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-uga.csv.CSV,680
214,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-uga.csv.CSV,680
215,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-uga.csv.CSV,680
216,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-uga.csv.CSV,680
217,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-uga.csv.CSV,680
218,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-uga.csv.CSV,680
219,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-uga.csv.CSV,680
220,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-uga.csv.CSV,680
221,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-uga.csv.CSV,680
222,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-uga.csv.CSV,680
223,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-uga.csv.CSV,680
224,Year,#date+year,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
225,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
226,Origin,#country+origin,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
227,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
228,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
229,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
230,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
231,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
232,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
233,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
234,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
235,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
236,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
237,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-ukr.csv.CSV,681
238,Year,#date+year,unhcr-asylum-seekers-determination-are.csv.CSV,682
239,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-are.csv.CSV,682
240,Origin,#country+origin,unhcr-asylum-seekers-determination-are.csv.CSV,682
241,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-are.csv.CSV,682
242,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-are.csv.CSV,682
243,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-are.csv.CSV,682
244,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-are.csv.CSV,682
245,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-are.csv.CSV,682
246,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-are.csv.CSV,682
247,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-are.csv.CSV,682
248,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-are.csv.CSV,682
249,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-are.csv.CSV,682
250,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-are.csv.CSV,682
251,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-are.csv.CSV,682
252,Year,#date+year,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
253,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
254,Origin,#country+origin,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
255,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
256,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
257,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
258,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
259,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
260,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
261,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
262,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
263,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
264,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
265,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-gbr.csv.CSV,683
266,Year,#date+year,unhcr-asylum-seekers-determination-tza.csv.CSV,684
267,Country / territory of asylum/residence,#country+asylum,unhcr-asylum-seekers-determination-tza.csv.CSV,684
268,Origin,#country+origin,unhcr-asylum-seekers-determination-tza.csv.CSV,684
269,RSD procedure type / level,#x_procedure+rsd,unhcr-asylum-seekers-determination-tza.csv.CSV,684
270,Total persons pending start-year,#x_applicants+start+total,unhcr-asylum-seekers-determination-tza.csv.CSV,684
271,of which UNHCR-assisted,#x_applicants+start+unhcr,unhcr-asylum-seekers-determination-tza.csv.CSV,684
272,Applied during year,#x_applicants+inyear,unhcr-asylum-seekers-determination-tza.csv.CSV,684
273,statistics.filter.decisions_recognized,#x_decisions+recognized,unhcr-asylum-seekers-determination-tza.csv.CSV,684
274,statistics.filter.decisions_other,#x_decisions+other,unhcr-asylum-seekers-determination-tza.csv.CSV,684
275,Rejected,#x_decisions+negative+rejected,unhcr-asylum-seekers-determination-tza.csv.CSV,684
276,Otherwise closed,#x_decisions+closed,unhcr-asylum-seekers-determination-tza.csv.CSV,684
277,Total decisions,#x_decisions+total,unhcr-asylum-seekers-determination-tza.csv.CSV,684
278,Total persons pending end-year,#x_applicants+end+total,unhcr-asylum-seekers-determination-tza.csv.CSV,684
279,of which UNHCR-assisted.1,#x_applicants+end+unhcr,unhcr-asylum-seekers-determination-tza.csv.CSV,684
280,Year,#date+year,unhcr-asylum-seekers-determination-usa.csv.CSV,685
