Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2001,Italy,Syrian Arab Rep.,G / FA,0,0,13,0,0,0,0,,0,0
2001,Italy,Chad,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,Togo,G / FA,0,0,64,22,2,3,0,27,0,0
2001,Italy,Tunisia,G / FA,0,0,25,14,0,12,0,26,0,0
2001,Italy,Turkey,G / FA,0,0,1690,313,55,2984,0,3352,0,0
2001,Italy,United Rep. of Tanzania,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Ukraine,G / FA,0,0,68,5,6,27,0,38,0,0
2001,Italy,Uruguay,G / FA,0,0,1,0,0,0,0,,0,0
2001,Italy,Viet Nam,G / FA,0,0,3,0,0,0,0,,0,0
2001,Italy,Stateless,G / FA,0,0,2,0,0,0,0,,0,0
2001,Italy,Various/Unknown,G / FA,0,0,14,86,24,124,0,234,0,0
2001,Italy,Yemen,G / FA,0,0,1,0,0,0,0,,0,0
2002,Italy,Afghanistan,G / FA,0,0,137,8,32,368,0,408,0,0
2002,Italy,Angola,G / FA,0,0,60,8,13,16,0,37,0,0
2002,Italy,Albania,G / FA,0,0,85,7,4,51,0,62,0,0
2002,Italy,Bangladesh,G / FA,0,0,374,4,2,212,0,218,0,0
2002,Italy,Bosnia and Herzegovina,G / FA,0,0,47,2,10,40,0,52,0,0
2002,Italy,Côte d'Ivoire,G / FA,0,0,93,1,1,5,0,7,0,0
2002,Italy,Cameroon,G / FA,0,0,71,8,5,19,0,32,0,0
2002,Italy,Dem. Rep. of the Congo,G / FA,0,0,100,35,14,27,0,76,0,0
2002,Italy,Congo,G / FA,0,0,193,33,8,19,0,60,0,0
2002,Italy,Colombia,G / FA,0,0,65,20,14,60,0,94,0,0
2002,Italy,Eritrea,G / FA,0,0,927,25,29,101,0,155,0,0
2002,Italy,Ethiopia,G / FA,0,0,209,47,12,53,0,112,0,0
2002,Italy,Georgia,G / FA,0,0,44,4,1,13,0,18,0,0
2002,Italy,Ghana,G / FA,0,0,33,0,1,6,0,7,0,0
2002,Italy,India,G / FA,0,0,170,4,1,11,0,16,0,0
2002,Italy,Iran (Islamic Rep. of),G / FA,0,0,84,41,8,58,0,107,0,0
2002,Italy,Iraq,G / FA,0,0,1944,124,63,5796,0,5983,0,0
2002,Italy,Liberia,G / FA,0,0,1660,0,1,2,0,3,0,0
2002,Italy,Sri Lanka,G / FA,0,0,1526,344,81,810,0,1235,0,0
2002,Italy,Rep. of Moldova,G / FA,0,0,87,2,2,45,0,49,0,0
2002,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,153,7,7,118,0,132,0,0
2002,Italy,Nigeria,G / FA,0,0,594,14,15,379,0,408,0,0
2002,Italy,Pakistan,G / FA,0,0,1256,7,0,81,0,88,0,0
2002,Italy,Palestinian,G / FA,0,0,278,1,7,35,0,43,0,0
2002,Italy,Romania,G / FA,0,0,620,0,3,356,0,359,0,0
2002,Italy,Russian Federation,G / FA,0,0,112,7,8,93,0,108,0,0
2002,Italy,Sudan,G / FA,0,0,867,28,25,56,0,109,0,0
2002,Italy,Sierra Leone,G / FA,0,0,310,11,42,71,0,124,0,0
2002,Italy,Somalia,G / FA,0,0,601,7,12,61,0,80,0,0
2002,Italy,Serbia and Kosovo (S/RES/1244 (1999)),G / FA,0,0,1769,94,198,915,0,1207,0,0
2002,Italy,Syrian Arab Rep.,G / FA,0,0,92,17,1,41,0,59,0,0
2002,Italy,Togo,G / FA,0,0,182,26,5,20,0,51,0,0
2002,Italy,Turkey,G / FA,0,0,730,138,50,2705,0,2893,0,0
2002,Italy,Stateless,G / FA,0,0,2,0,0,4,0,4,0,0
2002,Italy,Various/Unknown,G / FA,0,0,540,47,29,241,0,317,0,0
2003,Italy,Afghanistan,G / FA,0,0,70,3,0,181,0,184,0,0
2003,Italy,Angola,G / FA,0,0,21,8,0,29,1,38,0,0
2003,Italy,Albania,G / FA,0,0,46,2,0,41,3,46,0,0
2003,Italy,Bangladesh,G / FA,0,0,297,1,0,205,0,206,0,0
2003,Italy,Côte d'Ivoire,G / FA,0,0,348,3,0,44,0,47,0,0
2003,Italy,Cameroon,G / FA,0,0,90,18,0,34,0,52,0,0
2003,Italy,Dem. Rep. of the Congo,G / FA,0,0,60,51,0,57,0,108,0,0
2003,Italy,Congo,G / FA,0,0,155,55,0,65,3,123,0,0
2003,Italy,Colombia,G / FA,0,0,59,11,0,32,0,43,0,0
2003,Italy,Eritrea,G / FA,0,0,1230,83,0,289,0,372,0,0
2003,Italy,Ethiopia,G / FA,0,0,245,62,0,55,2,119,0,0
2003,Italy,Georgia,G / FA,0,0,27,4,0,23,0,27,0,0
2003,Italy,Ghana,G / FA,0,0,505,4,0,145,0,149,0,0
2003,Italy,India,G / FA,0,0,40,0,0,63,0,63,0,0
2003,Italy,Iran (Islamic Rep. of),G / FA,0,0,87,19,0,26,2,47,0,0
2003,Italy,Iraq,G / FA,0,0,493,22,0,1417,1,1440,0,0
2003,Italy,Liberia,G / FA,0,0,1550,23,0,564,0,587,0,0
2003,Italy,Sri Lanka,G / FA,0,0,77,7,0,831,0,838,0,0
2003,Italy,Rep. of Moldova,G / FA,0,0,70,1,0,55,0,56,0,0
2003,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,67,0,0,138,0,138,0,0
2003,Italy,Nigeria,G / FA,0,0,722,18,0,414,0,432,0,0
2003,Italy,Pakistan,G / FA,0,0,787,2,0,599,0,601,0,0
2003,Italy,Palestinian,G / FA,0,0,243,4,0,118,0,122,0,0
2003,Italy,Romania,G / FA,0,0,699,2,0,314,1,317,0,0
2003,Italy,Russian Federation,G / FA,0,0,71,10,0,53,0,63,0,0
2003,Italy,Sudan,G / FA,0,0,641,44,0,450,0,494,0,0
2003,Italy,Sierra Leone,G / FA,0,0,340,18,0,260,0,278,0,0
2003,Italy,Somalia,G / FA,0,0,1743,23,0,514,0,537,0,0
2003,Italy,Serbia and Kosovo (S/RES/1244 (1999)),G / FA,0,0,1510,26,0,1133,3,1162,0,0
2003,Italy,Togo,G / FA,0,0,107,68,0,50,0,118,0,0
2003,Italy,Turkey,G / FA,0,0,466,80,0,1942,0,2022,0,0
2003,Italy,Ukraine,G / FA,0,0,62,3,0,31,0,34,0,0
2003,Italy,Stateless,G / FA,0,0,5,0,0,1,0,1,0,0
2003,Italy,Various/Unknown,G / FA,0,0,522,51,2181,328,4,2564,0,0
2004,Italy,Afghanistan,G / FA,0,0,84,14,50,38,0,102,0,0
2004,Italy,Angola,G / FA,0,0,11,8,10,22,0,40,0,0
2004,Italy,Albania,G / FA,0,0,73,8,3,27,4,42,0,0
2004,Italy,Argentina,G / FA,0,0,0,0,0,1,0,1,0,0
2004,Italy,Armenia,G / FA,0,0,12,2,2,5,1,10,0,0
2004,Italy,Azerbaijan,G / FA,0,0,20,2,0,3,0,5,0,0
2004,Italy,Burundi,G / FA,0,0,8,0,1,1,0,2,0,0
2004,Italy,Benin,G / FA,0,0,2,0,0,3,0,3,0,0
2004,Italy,Burkina Faso,G / FA,0,0,3,3,0,5,0,8,0,0
2004,Italy,Bangladesh,G / FA,0,0,342,1,5,84,1,91,0,0
2004,Italy,Bulgaria,G / FA,0,0,184,0,0,5,0,5,0,0
2004,Italy,Bahrain,G / FA,0,0,5,0,0,0,0,,0,0
2004,Italy,Bosnia and Herzegovina,G / FA,0,0,19,0,1,8,0,9,0,0
2004,Italy,Belarus,G / FA,0,0,13,1,0,2,0,3,0,0
2004,Italy,Bolivia (Plurinational State of),G / FA,0,0,1,0,0,0,0,,0,0
2004,Italy,Brazil,G / FA,0,0,3,0,0,1,0,1,0,0
2004,Italy,Central African Rep.,G / FA,0,0,3,1,1,1,0,3,0,0
2004,Italy,Chile,G / FA,0,0,1,0,0,2,0,2,0,0
2004,Italy,China,G / FA,0,0,45,4,0,18,1,23,0,0
2004,Italy,Côte d'Ivoire,G / FA,0,0,183,11,88,80,1,180,0,0
2004,Italy,Cameroon,G / FA,0,0,56,28,12,37,1,78,0,0
2004,Italy,Dem. Rep. of the Congo,G / FA,0,0,79,25,19,29,1,74,0,0
2004,Italy,Congo,G / FA,0,0,76,46,30,78,1,155,0,0
2004,Italy,Colombia,G / FA,0,0,69,5,1,12,2,20,0,0
2004,Italy,Cuba,G / FA,0,0,25,4,1,5,0,10,0,0
2004,Italy,Algeria,G / FA,0,0,14,2,1,11,1,15,0,0
2004,Italy,Ecuador,G / FA,0,0,6,0,0,3,1,4,0,0
2004,Italy,Egypt,G / FA,0,0,6,0,0,3,0,3,0,0
2004,Italy,Eritrea,G / FA,0,0,831,190,418,250,0,858,0,0
2004,Italy,Ethiopia,G / FA,0,0,333,73,81,77,1,232,0,0
2004,Italy,Gabon,G / FA,0,0,1,0,0,1,0,1,0,0
2004,Italy,Georgia,G / FA,0,0,34,2,2,32,0,36,0,0
2004,Italy,Ghana,G / FA,0,0,62,0,55,115,0,170,0,0
2004,Italy,Guinea,G / FA,0,0,5,3,0,1,0,4,0,0
2004,Italy,Gambia,G / FA,0,0,37,1,2,20,0,23,0,0
2004,Italy,Guinea-Bissau,G / FA,0,0,11,2,1,5,0,8,0,0
2004,Italy,Croatia,G / FA,0,0,1,0,0,1,0,1,0,0
2004,Italy,India,G / FA,0,0,53,1,1,14,0,16,0,0
2004,Italy,Iran (Islamic Rep. of),G / FA,0,0,70,31,6,32,2,71,0,0
2004,Italy,Iraq,G / FA,0,0,166,21,62,388,2,473,0,0
2004,Italy,Jordan,G / FA,0,0,0,1,0,1,0,2,0,0
2004,Italy,Kenya,G / FA,0,0,1,1,0,1,0,2,0,0
2004,Italy,Kyrgyzstan,G / FA,0,0,2,0,1,1,0,2,0,0
2004,Italy,Cambodia,G / FA,0,0,2,0,0,0,0,,0,0
2004,Italy,Lebanon,G / FA,0,0,6,0,1,3,0,4,0,0
2004,Italy,Liberia,G / FA,0,0,361,23,631,774,0,1428,0,0
2004,Italy,Libya,G / FA,0,0,5,0,1,2,0,3,0,0
2004,Italy,Sri Lanka,G / FA,0,0,45,1,4,141,14,160,0,0
2004,Italy,Lithuania,G / FA,0,0,3,0,0,0,0,,0,0
2004,Italy,Latvia,G / FA,0,0,1,0,0,0,0,,0,0
2004,Italy,Morocco,G / FA,0,0,17,0,0,11,0,11,0,0
2004,Italy,Rep. of Moldova,G / FA,0,0,81,3,2,46,0,51,0,0
2004,Italy,Madagascar,G / FA,0,0,1,0,0,0,0,,0,0
2004,Italy,The former Yugoslav Republic of Macedonia,G / FA,0,0,196,4,4,60,1,69,0,0
2004,Italy,Mali,G / FA,0,0,1,0,0,15,0,15,0,0
2004,Italy,Myanmar,G / FA,0,0,2,1,0,0,0,1,0,0
2004,Italy,Mongolia,G / FA,0,0,0,1,0,0,0,1,0,0
2004,Italy,Mauritania,G / FA,0,0,19,5,0,15,0,20,0,0
2004,Italy,Niger,G / FA,0,0,14,0,1,15,0,16,0,0
2004,Italy,Nigeria,G / FA,0,0,930,14,29,573,1,617,0,0
2004,Italy,Nepal,G / FA,0,0,1,0,0,1,0,1,0,0
2004,Italy,Pakistan,G / FA,0,0,267,2,5,227,0,234,0,0
2004,Italy,Peru,G / FA,0,0,9,0,2,4,0,6,0,0
2004,Italy,Philippines,G / FA,0,0,0,0,0,1,0,1,0,0
2004,Italy,Poland,G / FA,0,0,1,0,0,1,0,1,0,0
2004,Italy,Palestinian,G / FA,0,0,172,3,5,128,0,136,0,0
2004,Italy,Romania,G / FA,0,0,1161,5,10,505,1,521,0,0
2004,Italy,Russian Federation,G / FA,0,0,107,5,2,41,0,48,0,0
2004,Italy,Rwanda,G / FA,0,0,4,7,2,2,0,11,0,0
2004,Italy,Saudi Arabia,G / FA,0,0,1,0,0,0,0,,0,0
2004,Italy,Sudan,G / FA,0,0,486,38,180,424,1,643,0,0
2004,Italy,Senegal,G / FA,0,0,26,0,0,12,0,12,0,0
2004,Italy,Sierra Leone,G / FA,0,0,87,12,29,202,1,244,0,0
2004,Italy,El Salvador,G / FA,0,0,2,0,0,0,0,,0,0
2004,Italy,Somalia,G / FA,0,0,186,52,454,134,1,641,0,0
2004,Italy,Serbia and Kosovo (S/RES/1244 (1999)),G / FA,0,0,1991,27,64,597,7,695,0,0
2004,Italy,Slovakia,G / FA,0,0,0,0,0,1,3,4,0,0
2004,Italy,Syrian Arab Rep.,G / FA,0,0,7,9,0,2,0,11,0,0
2004,Italy,Chad,G / FA,0,0,3,3,4,18,0,25,0,0
2004,Italy,Togo,G / FA,0,0,114,48,44,72,1,165,0,0
2004,Italy,Tajikistan,G / FA,0,0,1,1,0,0,0,1,0,0
2004,Italy,Tunisia,G / FA,0,0,7,0,1,5,0,6,0,0
2004,Italy,Turkey,G / FA,0,0,323,18,16,293,6,333,0,0
2004,Italy,United Rep. of Tanzania,G / FA,0,0,2,0,0,0,0,,0,0
2004,Italy,Uganda,G / FA,0,0,5,2,3,3,0,8,0,0
2004,Italy,Ukraine,G / FA,0,0,66,4,2,21,0,27,0,0
2004,Italy,Uruguay,G / FA,0,0,9,0,0,0,0,,0,0
2004,Italy,Uzbekistan,G / FA,0,0,3,0,0,0,0,,0,0
2004,Italy,Venezuela (Bolivarian Republic of),G / FA,0,0,8,0,0,0,0,,0,0
2004,Italy,Viet Nam,G / FA,0,0,1,1,0,0,1,2,0,0
2004,Italy,Various/Unknown,G / FA,0,0,33,0,0,0,0,,0,0
2004,Italy,Yemen,G / FA,0,0,0,0,0,1,0,1,0,0
2004,Italy,South Africa,G / FA,0,0,4,0,1,1,0,2,0,0
2004,Italy,Zimbabwe,G / FA,0,0,1,0,0,3,0,3,0,0
2005,Italy,Afghanistan,G / FA,0,0,76,12,54,25,0,91,0,0
2005,Italy,Angola,G / FA,0,0,9,0,0,0,0,,0,0
2005,Italy,Albania,G / FA,0,0,14,0,9,20,0,29,0,0
2005,Italy,Armenia,G / FA,0,0,13,0,0,0,0,,0,0
2005,Italy,Azerbaijan,G / FA,0,0,28,9,1,3,0,13,0,0
2005,Italy,Burundi,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Benin,G / FA,0,0,6,0,0,0,0,,0,0
2005,Italy,Burkina Faso,G / FA,0,0,15,0,0,0,0,,0,0
2005,Italy,Bangladesh,G / FA,0,0,407,5,33,315,0,353,0,0
2005,Italy,Bulgaria,G / FA,0,0,28,0,0,0,0,,0,0
2005,Italy,Bosnia and Herzegovina,G / FA,0,0,9,0,0,0,0,,0,0
2005,Italy,Belarus,G / FA,0,0,13,0,0,0,0,,0,0
2005,Italy,Brazil,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Central African Rep.,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Chile,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,China,G / FA,0,0,4,0,0,0,0,,0,0
2005,Italy,Côte d'Ivoire,G / FA,0,0,586,23,430,277,0,730,0,0
2005,Italy,Cameroon,G / FA,0,0,58,36,15,30,0,81,0,0
2005,Italy,Dem. Rep. of the Congo,G / FA,0,0,20,32,15,2,0,49,0,0
2005,Italy,Congo,G / FA,0,0,21,26,26,20,0,72,0,0
2005,Italy,Colombia,G / FA,0,0,29,11,19,23,0,53,0,0
2005,Italy,Cabo Verde,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,Cuba,G / FA,0,0,8,7,5,4,0,16,0,0
2005,Italy,Algeria,G / FA,0,0,6,0,0,0,0,,0,0
2005,Italy,Ecuador,G / FA,0,0,6,0,0,0,0,,0,0
2005,Italy,Egypt,G / FA,0,0,7,0,0,0,0,,0,0
2005,Italy,Eritrea,G / FA,0,0,1313,245,1675,45,0,1965,0,0
2005,Italy,Ethiopia,G / FA,0,0,547,103,488,134,0,725,0,0
2005,Italy,Georgia,G / FA,0,0,9,0,0,0,0,,0,0
2005,Italy,Ghana,G / FA,0,0,407,0,31,433,0,464,0,0
2005,Italy,Guinea,G / FA,0,0,20,0,0,0,0,,0,0
2005,Italy,Gambia,G / FA,0,0,25,0,0,0,0,,0,0
2005,Italy,Guinea-Bissau,G / FA,0,0,1,0,0,0,0,,0,0
2005,Italy,India,G / FA,0,0,86,0,7,77,0,84,0,0
